datetime	date	user_id	text	nickname	first_name	second_name	sentiment
2022-12-12 11:43:00+00:00	2022-12-12	1299819644		Vanmo4	Иван		NEUTRAL
2022-12-02 07:51:48+00:00	2022-12-02	360959796	Понял, да тогда становится ясно, спасиб ребят	iossHit	SemenB		NEGATIVE
2022-12-02 07:47:58+00:00	2022-12-02	1142697803	Ну да. Конкретные исходы наверное будет точнее.		Ярослав		NEUTRAL
2022-12-02 07:44:54+00:00	2022-12-02	360959796	Типо конкретные результаты испытаний?	iossHit	SemenB		NEUTRAL
2022-12-02 07:40:43+00:00	2022-12-02	376462528	Тоже так поняла	AngryFoxMGN	Angry_Fox_mgn		NEUTRAL
2022-12-02 07:39:43+00:00	2022-12-02	1142697803	Насколько я понял, предлагается считать не случайные события как таковые, а их числовую реализацию. То есть выпадение орлов заменять на некие числа, любые, а решек на иные, и их суммировать.		Ярослав		NEGATIVE
2022-12-02 07:39:17+00:00	2022-12-02	360959796	Эт понятно, но как операция сложения для случайных величин определена?	iossHit	SemenB		NEUTRAL
2022-12-02 07:37:33+00:00	2022-12-02	376462528	"S1=X1
S2=X1+X2
S3=X1+X2+X3
…..
S10=X1+…..+X10
n - это число экспериментов 
Так понятнее?"	AngryFoxMGN	Angry_Fox_mgn		NEGATIVE
2022-12-02 06:22:25+00:00	2022-12-02	360959796	"Всем доброе утро, а можете объяснить, что значит сумма случайных переменных и как ее считать. Из вчерашней формулы цпт
До меня не доходит"	iossHit	SemenB		NEGATIVE
2022-12-01 17:41:43+00:00	2022-12-01	401094301	Семен, благодарю! :)	dmitriialekseevich3223	Дмитрий Алексеевич		NEUTRAL
2022-12-14 14:21:56+00:00	2022-12-14	210684658		Pavel_Okhotnikov	Pavel		NEUTRAL
2022-12-12 11:43:00+00:00	2022-12-12	1299819644		Vanmo4	Иван		NEUTRAL
2022-12-02 07:51:48+00:00	2022-12-02	360959796	Понял, да тогда становится ясно, спасиб ребят	iossHit	SemenB		NEGATIVE
2022-12-02 07:47:58+00:00	2022-12-02	1142697803	Ну да. Конкретные исходы наверное будет точнее.		Ярослав		NEUTRAL
2022-12-02 07:44:54+00:00	2022-12-02	360959796	Типо конкретные результаты испытаний?	iossHit	SemenB		NEUTRAL
2022-12-02 07:40:43+00:00	2022-12-02	376462528	Тоже так поняла	AngryFoxMGN	Angry_Fox_mgn		NEUTRAL
2022-12-02 07:39:43+00:00	2022-12-02	1142697803	Насколько я понял, предлагается считать не случайные события как таковые, а их числовую реализацию. То есть выпадение орлов заменять на некие числа, любые, а решек на иные, и их суммировать.		Ярослав		NEGATIVE
2022-12-02 07:39:17+00:00	2022-12-02	360959796	Эт понятно, но как операция сложения для случайных величин определена?	iossHit	SemenB		NEUTRAL
2022-12-02 07:37:33+00:00	2022-12-02	376462528	"S1=X1
S2=X1+X2
S3=X1+X2+X3
…..
S10=X1+…..+X10
n - это число экспериментов 
Так понятнее?"	AngryFoxMGN	Angry_Fox_mgn		NEGATIVE
2022-12-02 06:22:25+00:00	2022-12-02	360959796	"Всем доброе утро, а можете объяснить, что значит сумма случайных переменных и как ее считать. Из вчерашней формулы цпт
До меня не доходит"	iossHit	SemenB		NEGATIVE
